StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-02_19-15-43.073668954,1525281343.075194532,18720593738,2018-05-02_19-16-13.112886493,1525281373.114415018,0.19,0.09,0.10,39580742,70173609624,49,896724,24,4,0,0,0,0,893,0,3099,617801,2576,0,287,0,0,0,32805052,31850696,31723400,948,138352
2018-05-02_19-16-13.149795276,1525281373.151268421,18221650146,2018-05-02_19-16-43.182400527,1525281403.183916751,0.19,0.10,0.10,78785612,139380580546,69,896725,24,4,4,12,0,931132,905,0,4103,639543,2576,0,625,0,0,0,32805052,31849320,31721780,948,138352
2018-05-02_19-16-43.219428768,1525281403.220977889,15707103100,2018-05-02_19-17-13.252063805,1525281433.253567290,0.20,0.11,0.10,112367442,198532484558,69,896726,24,4,6,16,841003,931132,916,0,4884,661595,2576,0,771,0,0,0,32805052,31850128,31722328,948,138352
2018-05-02_19-17-13.288907865,1525281433.290398664,16184291787,2018-05-02_19-17-43.322617962,1525281463.324141479,0.19,0.11,0.11,146790616,259470875326,879968,897385,31,4,6,17,841003,931132,925,0,5703,683700,2576,0,873,0,0,0,32805052,31849168,31721888,948,138352
2018-05-02_19-17-43.359591777,1525281463.361063929,18134831202,2018-05-02_19-18-13.392348459,1525281493.393852063,0.31,0.15,0.12,186024350,328248712066,880000,897386,31,4,39,20,1767716,931132,937,0,6723,705434,2576,0,1212,0,0,0,32805052,31850724,31722796,948,138352
2018-05-02_19-18-13.429194094,1525281493.430652543,19266073608,2018-05-02_19-18-43.458456798,1525281523.459979658,0.45,0.20,0.14,285153188,400846533554,2563553,904561,22936,10267,39,21,1767716,931132,949,0,8253,726730,2576,0,1827,0,0,0,32805052,31850284,31722440,948,138352
2018-05-02_19-18-43.495518294,1525281523.497048318,16018812150,2018-05-02_19-19-13.525430939,1525281553.526961015,0.34,0.20,0.14,318756074,461190751546,2563553,1778023,22939,10267,39,21,1767716,931132,958,0,9042,748839,2576,0,1920,0,0,0,32805052,31849488,31721680,948,138352
2018-05-02_19-19-13.562407505,1525281553.563881936,15610639904,2018-05-02_19-19-43.594433145,1525281583.595941584,0.32,0.21,0.14,351596272,519984748812,2563553,1778024,22939,10267,39,21,1767716,1766596,968,0,9806,770902,2576,0,2057,0,0,0,32805052,31850972,31723444,948,138352
2018-05-02_19-19-43.631053186,1525281583.632517207,15678992705,2018-05-02_19-20-13.660921692,1525281613.662452560,0.32,0.22,0.15,385279478,579518982444,2563553,1778024,22939,10267,56,24,2607914,1766603,981,0,10575,792947,2576,0,2207,0,0,0,32805052,31839156,31712156,948,138368
2018-05-02_19-20-13.697831624,1525281613.699301214,16209289780,2018-05-02_19-20-43.727623553,1525281643.729160933,0.19,0.20,0.14,419636732,640561828420,3448461,1778710,23236,10277,56,24,2607914,1766603,993,0,11368,815070,2576,0,2295,0,0,0,32805052,31838016,31710116,948,138372
